skill,experience_years,rating,location,hourly_rate
React,1,3.8,Remote,20
React,2,4.1,Asia,24
React,4,4.3,Europe,38
React,6,4.6,USA,62
React,9,4.8,USA,88
Python,1,3.9,Asia,22
Python,3,4.2,Remote,34
Python,5,4.5,Europe,52
Python,8,4.7,USA,79
Python,12,4.9,USA,115
Django,2,4.0,Remote,30
Django,4,4.3,Europe,46
Django,7,4.6,USA,72
Django,10,4.8,USA,98
Vue,1,3.7,Asia,18
Vue,3,4.1,Remote,31
Vue,5,4.4,Europe,48
Vue,8,4.7,USA,74
Node.js,2,4.0,Remote,33
Node.js,4,4.3,Europe,50
Node.js,6,4.5,USA,68
Node.js,10,4.8,USA,102
Flutter,1,3.8,Asia,19
Flutter,3,4.2,Remote,32
Flutter,5,4.4,Europe,49
Flutter,8,4.7,USA,76
DevOps,3,4.2,Remote,45
DevOps,6,4.5,Europe,68
DevOps,9,4.8,USA,98
DevOps,15,5.0,USA,145
UI/UX,1,3.6,Asia,15
UI/UX,3,4.1,Remote,28
UI/UX,6,4.5,Europe,52
UI/UX,10,4.8,USA,84
Python,15,5.0,Remote,130
React,12,4.9,Europe,110
Node.js,14,4.9,Remote,122
Flutter,12,4.9,Europe,108
UI/UX,14,4.9,Remote,95
DevOps,12,4.9,Europe,120
